"filename", "language", "JSON", "Markdown", "mcfunction", "comment", "blank", "total"
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\swap_spell\up.mcfunction", "mcfunction", 0, 0, 7, 0, 0, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\switch\debug.mcfunction", "mcfunction", 0, 0, 4, 0, 0, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\switch\dev.mcfunction", "mcfunction", 0, 0, 6, 0, 0, 6
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\switch\disabled.mcfunction", "mcfunction", 0, 0, 5, 0, 1, 6
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\dev\dev_stone\toggle.mcfunction", "mcfunction", 0, 0, 4, 0, 0, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\load.mcfunction", "mcfunction", 0, 0, 24, 4, 6, 34
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\main.mcfunction", "mcfunction", 0, 0, 22, 6, 5, 33
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\display.mcfunction", "mcfunction", 0, 0, 24, 0, 1, 25
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\display_water.mcfunction", "mcfunction", 0, 0, 24, 0, 1, 25
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\on_death.mcfunction", "mcfunction", 0, 0, 3, 0, 1, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\regen.mcfunction", "mcfunction", 0, 0, 7, 0, 1, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\regen_of_flower.mcfunction", "mcfunction", 0, 0, 2, 0, 1, 3
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\mana\run_regen.mcfunction", "mcfunction", 0, 0, 2, 0, 1, 3
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\end\circulum_sanitatem.mcfunction", "mcfunction", 0, 0, 6, 0, 0, 6
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\end\ignis_temptates.mcfunction", "mcfunction", 0, 0, 26, 0, 12, 38
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\main.mcfunction", "mcfunction", 0, 0, 5, 0, 1, 6
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\start\circulum_sanitatem.mcfunction", "mcfunction", 0, 0, 0, 0, 1, 1
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\start\ignis_temptates.mcfunction", "mcfunction", 0, 0, 1, 0, 0, 1
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\start\main.mcfunction", "mcfunction", 0, 0, 3, 0, 1, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\while\circulum_sanitatem.mcfunction", "mcfunction", 0, 0, 6, 0, 3, 9
